Gender,College,Income,Carrier,Mate,Aircon,Refrig,Parking,Freshmarket,Restaurant,Laundry,Clean_service,Rental_fee,Cost_utilities,Size,Distance,Security,Can_pet,Can_cook,Name,Rental_fee_REAL,Zone
Female,Science,Medium,No,0,High,High,Little,Medium,High,High,Medium,Medium,High,Medium,Medium,High,Little,Medium,AJ PARK,Medium,RNP
Female,Engineering,Medium,Motorcycle,2,High,High,Medium,Little,Medium,Medium,Medium,High,High,High,Medium,Medium,Medium,Medium,2SON,Medium,RNP
Male,Science,Medium,No,0,High,High,Little,Medium,Medium,High,Not,High,High,Little,Medium,High,High,High,AJ PARK,Medium,Kekingam
Female,Liberal_art,Medium,No,1,High,High,High,Medium,High,High,High,High,High,High,High,High,High,High,AJ PARK,Medium,RNP
Female,Engineering,High,Motorcycle,0,High,High,Little,Not,Not,Medium,Not,High,Medium,Medium,Little,Little,Little,Little,Pool Villa,Medium,RNP
Female,Engineering,High,Motorcycle,1,High,Medium,Not,Not,Medium,Medium,Little,High,Medium,High,Medium,Medium,Little,Little,2SON,Medium,RNP
Female,Engineering,High,No,2,High,High,Little,Not,High,High,Medium,Medium,Medium,Medium,High,High,Little,Little,AJ PARK,Medium,RNP
Female,Engineering,High,Motorcycle,0,High,High,High,Little,Little,High,Medium,Medium,Little,Medium,High,High,Not,Not,AJ PARK,Medium,RNP
Female,Science,High,Motorcycle,0,High,Medium,High,Medium,Medium,High,High,High,High,Medium,High,High,Medium,Medium,AJ PARK,Medium,RNP
Male,Science,High,No,1,High,High,Medium,Medium,High,High,Little,High,High,High,High,High,Little,Medium,AJ PARK,Medium,RNP
Female,Engineering,High,No,0,High,Medium,Medium,Little,High,Little,Little,Medium,Medium,High,High,High,Not,Little,Pool Villa,Medium,RNP
Female,Engineering,High,Motorcycle,0,Medium,High,High,Medium,High,High,Medium,Medium,Medium,Medium,High,High,Medium,Medium,AJ PARK,Medium,RNP
Male,Engineering,High,Motorcycle,0,Medium,Medium,High,Medium,Medium,High,Medium,High,High,Medium,High,High,Medium,Medium,AJ PARK,Medium,RNP
LGBT,Science,High,Motorcycle,2,High,High,High,Medium,High,High,High,High,High,Medium,High,High,Not,Little,AJ PARK,Medium,RNP
Male,Engineering,High,Car,2,High,High,High,Not,Medium,Medium,Little,High,Little,Medium,Medium,High,Little,Little,Pool Villa,Medium,RNP
Female,Engineering,High,No,0,Medium,Not,Not,Not,Little,Medium,Not,High,High,High,Medium,High,Not,Not,?????????,Medium,RNP
Male,Engineering,Very_High,Car,0,Medium,Little,High,Not,Little,Little,Little,High,High,Medium,High,Medium,Not,Not,Pool Villa,Medium,RNP
Female,Science,Low,No,2,High,Medium,Not,Little,High,High,Medium,High,High,Medium,High,High,Not,Little,Papa mama apartment,Medium,RNP
Female,Industry_ed,Low,No,3,High,High,Little,High,High,High,Little,High,High,High,High,High,High,High,??????????????????,Medium,Nikhom
Female,Industry_ed,Medium,No,2,High,High,Little,Medium,High,Medium,Medium,High,High,High,Medium,High,High,High,The Home,Medium,RNP
Female,Engineering,Medium,Motorcycle,0,High,High,High,High,High,High,High,High,High,High,High,High,Little,Medium,Rnp place,Medium,RNP
Male,Engineering,Medium,Car,1,High,High,Medium,Not,Medium,Medium,Medium,High,Little,Medium,Little,Medium,High,Medium,V-Condo,Medium,Nikhom
Male,Science,Medium,No,1,High,High,Not,Little,Little,Medium,Little,Medium,High,Medium,Medium,High,Not,Little,V-Condo,Medium,Nikhom
Female,Engineering,High,Car,0,High,High,Medium,Not,Little,Little,Little,High,Medium,Medium,Little,Medium,High,High,Jia-Jia,Medium,RNP
Female,Engineering,High,Motorcycle,1,Medium,Medium,Medium,Medium,High,Medium,High,High,High,High,High,High,Medium,Medium,The Home,Medium,RNP
Female,Businees,High,No,0,High,Medium,Little,High,High,High,Little,Medium,High,Medium,Medium,High,Not,Medium,V-Condo,Medium,Nikhom
Male,Engineering,High,Car,1,High,High,High,Little,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Jia-Jia,Medium,RNP
Male,Engineering,High,Car,2,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,V-Condo,Medium,Nikhom
Male,Engineering,High,Car,1,High,High,Medium,Little,Medium,Medium,Little,High,Medium,High,Medium,High,High,High,V-Condo,Medium,Nikhom
Male,Engineering,High,Car,1,High,High,Medium,Little,Medium,Medium,Little,High,Medium,High,Medium,High,High,High,V-Condo,Medium,Nikhom
Male,Engineering,High,Car,1,High,High,Medium,Little,Medium,Medium,Little,High,Medium,High,Medium,High,High,High,V-Condo,Medium,Nikhom
Male,Engineering,High,Car,1,High,High,Medium,Little,Medium,Medium,Little,High,Medium,High,Medium,High,High,High,V-Condo,Medium,Nikhom
Female,Engineering,Very_High,Car,0,High,High,High,Not,Medium,Medium,High,Medium,Medium,High,Medium,High,Little,High,V-Condo,Medium,Nikhom
Female,Agri_tec,Medium,No,2,Medium,Little,Little,Not,Medium,Little,Little,High,Medium,Medium,Little,Medium,Medium,Medium,Jia-Jia,Medium,RNP
Female,Science,Medium,No,2,Little,High,Not,Medium,High,High,Not,High,Medium,High,Little,High,Not,Not,Jia-Jia,Medium,RNP
Female,Architecture,High,No,1,High,Little,Little,Little,High,Little,Little,Medium,Medium,High,High,High,Medium,High,Jia-Jia,Medium,RNP
Female,Engineering,High,Car,0,High,High,High,Not,Medium,Medium,Little,High,Little,High,Medium,Medium,Little,Little,Papa mama apartment,Medium,RNP
Female,Engineering,Medium,Motorcycle,1,High,High,High,Little,Little,High,Medium,High,High,High,Medium,Medium,Little,Medium,RNP the waterside,High,RNP
Female,Science,Medium,Motorcycle,2,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,High,High,High,Medium,Medium,Jia-Jia,High,RNP
Female,Engineering,Low,Car,1,High,Medium,High,Little,Medium,Little,Little,Medium,Medium,High,High,Medium,Little,Little,????????????????,High,RNP
Female,Science,Medium,No,3,High,Medium,Not,Medium,High,High,Not,High,High,High,Medium,Medium,Not,Not,?????????????????1,High,RNP
LGBT,Engineering,High,Motorcycle,3,High,High,Little,Not,Little,High,Little,High,High,High,Medium,High,Not,Little,???????? ,High,RNP
Female,Liberal_art,High,Motorcycle,3,High,Medium,Medium,Little,Medium,Little,Little,High,Little,Medium,Medium,Little,Little,Little,????????,High,RNP
Female,Liberal_art,High,Motorcycle,3,High,Medium,Medium,Little,Medium,Little,Little,High,Little,Medium,Medium,Little,Little,Little,????????,High,RNP
Female,Science,High,Motorcycle,2,High,Medium,Not,Not,Medium,Little,Not,High,Little,Medium,Medium,Little,Not,Not,???????? ,High,RNP
Female,Engineering,High,Motorcycle,3,High,High,Little,Not,Medium,Medium,High,High,High,High,Medium,High,Not,Little,????????,Very_High,RNP
Female,Liberal_art,High,Motorcycle,3,Medium,Medium,Medium,Little,Little,Medium,Little,Medium,Little,Medium,Little,Medium,Medium,Medium,????????,Very_High,RNP
