Gender,College,Income,Carrier,Mate,Aircon,Refrig,Parking,Freshmarket,Restaurant,Laundry,Clean_service,Rental_fee,Cost_utilities,Size,Distance,Security,Can_pet,Can_cook,Name,Rental_fee_REAL,Zone
Male,Science,Medium,No,0,Medium,Medium,Not,Little,High,Medium,Not,High,Medium,Medium,High,High,Not,Little,??????,Low,Jinda
Female,Agri_tec,Medium,No,0,High,Medium,High,Little,High,High,High,Medium,Medium,Medium,Medium,High,Medium,High,???????,Low,FBT
Male,Science,Medium,No,0,High,Little,Little,Medium,High,High,Medium,Medium,Medium,High,High,High,Little,Medium,???????,Low,Kekingam
Female,Liberal_art,Medium,Motorcycle,1,Medium,Little,Little,Little,Little,Little,Little,Medium,Medium,Little,Little,Little,Little,Little,??????,Low,Nikhom
Female,Engineering,Medium,No,0,Medium,Little,Little,Medium,High,High,High,High,High,Medium,High,High,Not,Little,?????????,Low,Kekingam
Female,Science,Medium,No,1,High,Not,Not,Not,Little,High,Little,High,High,Medium,High,High,Not,Medium,??????????????????? ,Low,FBT
Male,Engineering,Medium,No,0,Little,Little,Not,Not,Medium,Little,Little,High,High,Medium,Little,Medium,Medium,Medium,????? ?????????,Low,Kekingam
Female,Food_Ind,Medium,No,0,Medium,High,Not,High,High,Not,Not,High,High,High,High,High,Not,Medium,???????????,Low,Kekingam
Female,Businees,Medium,No,0,High,Not,Little,Medium,High,High,Little,High,High,High,Medium,Medium,Not,Medium,????????????,Low,Jinda
Female,Industry_ed,Medium,No,2,Medium,High,High,High,High,High,Little,Medium,Medium,Medium,Medium,High,Little,Medium,?????,Low,Kekingam
Female,Science,Medium,Motorcycle,1,High,Little,Medium,Not,High,High,Medium,High,High,Medium,Medium,High,Not,Little,?????????FBT(?????????),Low,FBT
Female,Nano,Medium,No,0,High,Medium,Not,High,High,High,High,High,High,Medium,Medium,High,High,High,?????????????????,Low,Jinda
Female,Industry_ed,High,Motorcycle,0,Medium,Little,High,Little,Medium,Medium,Little,High,High,Little,Medium,Medium,Not,High,?????????????,Low,Jinda
Female,Engineering,High,No,0,Medium,Medium,Little,Medium,High,High,Little,High,High,High,Medium,Medium,Little,Medium,??????????????????,Low,Jinda
Female,Industry_ed,High,No,0,Not,High,Not,Not,Not,Little,Not,High,High,High,High,High,Little,Medium,????????,Low,Nikhom
Female,Agri_tec,High,No,0,High,Medium,Not,Not,Not,High,Not,High,High,High,High,High,High,High,??????????,Low,Jinda
Female,Engineering,Low,Motorcycle,1,Medium,High,Medium,High,High,Medium,Medium,High,Medium,High,Medium,High,Little,Little,?????,Low,Kekingam
Female,Agri_tec,Medium,No,1,Medium,High,High,High,High,High,Medium,High,High,High,Medium,High,High,High,?????,Low,Kekingam
Male,Science,Medium,No,0,Medium,Medium,Not,Not,Medium,High,Not,High,Medium,Medium,Medium,Medium,Not,Little,?????????,Low,Kekingam
LGBT,Science,Low,No,0,Little,High,Not,High,High,Little,Not,High,High,Medium,Medium,High,Not,Not,?????????????,Low,Jinda
Female,Food_Ind,Medium,No,2,Medium,Medium,Not,Little,Medium,Medium,Not,High,Little,Medium,High,Medium,Not,Little,A&J Mansion,Low,FBT
Female,Engineering,Low,No,0,High,Not,Not,Medium,Medium,Not,Not,High,High,Medium,High,Medium,Not,Not,???????????????,Low,Kekingam
Female,Industry_ed,Low,Motorcycle,0,Little,Medium,Medium,Not,Little,Medium,Not,High,High,High,Little,Medium,Little,Medium,My place 9,Low,Jinda
Female,Agri_tec,Low,Motorcycle,2,High,Little,High,Not,Not,Medium,High,High,High,Medium,Medium,High,High,Not,?????????,Low,Jinda
Male,IT,Medium,Bicycle,0,High,Not,Medium,Not,Little,Medium,Not,High,Medium,Medium,Little,Medium,Not,Not,Richmond ,Low,Jinda
Male,Liberal_art,Low,Motorcycle,0,Little,Medium,High,Little,Medium,Medium,Not,High,High,High,Little,High,Not,Little,Richmond ,Low,Jinda
Female,Science,Low,No,0,Medium,Medium,Not,Little,High,Medium,Not,Medium,Medium,High,Medium,High,Not,Little,?????????,Low,Jinda
Female,Engineering,Low,Bicycle,0,High,High,Medium,Little,Medium,High,Medium,High,High,Medium,Medium,High,Little,Medium,Richmond ,Low,Jinda
Female,Science,Low,No,2,High,Not,High,Little,Medium,High,Little,High,Medium,High,High,Medium,Not,Little,?????,Low,Jinda
Female,Agri_tec,Low,No,0,Medium,Medium,Medium,Little,Little,Little,Little,High,High,High,High,Medium,Little,Little,??????????,Low,Jinda
Female,Science,Low,No,0,High,Not,Little,Medium,High,High,Little,High,Medium,Medium,High,High,Not,Little,??????????????????????,Low,Kekingam
Female,Engineering,Low,No,0,High,Little,Not,Not,Medium,High,Not,High,High,Medium,High,High,Not,Not,JJ apartment,Low,Kekingam
Male,Nano,Low,No,1,Not,Not,Not,Medium,High,Medium,Little,High,High,High,High,High,Medium,Medium,BBS apartment ,Low,FBT
Female,Engineering,Low,Motorcycle,0,High,High,High,Little,High,Not,Not,High,High,High,Little,High,Not,Medium,Sabai place ,Low,Nikhom
Male,IT,Low,Motorcycle,1,Medium,Medium,Little,Little,Little,Little,Little,Medium,Medium,Medium,Little,Little,Little,Little,Sabai place ,Low,Nikhom
Female,Industry_ed,Low,No,1,Medium,Not,Little,High,Medium,Little,Not,High,High,Medium,High,High,Not,Medium,??????????1,Low,Kekingam
Female,Liberal_art,Low,No,2,High,Little,Little,Little,Medium,High,Little,High,Medium,High,High,Medium,Not,Little,?????????????????,Low,Jinda
Male,Science,Medium,No,1,High,Medium,Not,Little,Little,High,Not,High,High,Medium,High,Medium,Not,Not,Sabai place ,Low,Nikhom
Female,Science,Medium,No,2,Medium,Little,Little,Little,High,Medium,Medium,High,High,Medium,Medium,Medium,Little,Little,???????????,Low,Kekingam
Female,Engineering,Medium,No,0,Medium,Not,Not,Medium,High,High,Not,High,High,High,High,High,Not,Medium,????????????,Low,Kekingam
Male,Science,Medium,No,1,Medium,Not,Medium,Little,High,High,Not,High,Medium,Medium,High,High,Not,Not,??????????????,Low,Kekingam
Female,Science,Medium,No,1,High,Little,Not,Medium,High,Medium,Not,High,High,High,High,High,Not,Not,???????????? ,Low,Jinda
Female,Science,Medium,No,1,High,Medium,Medium,High,High,Medium,Medium,High,High,High,High,High,Medium,Medium,?????????????????,Low,Jinda
Female,Science,Medium,No,0,Medium,Medium,Not,Medium,Medium,Medium,Not,High,High,High,High,High,Little,High,Sabai place,Low,Nikhom
Female,Science,Medium,No,2,High,Medium,Not,Medium,High,Medium,Little,High,Medium,Medium,Medium,Medium,Not,Little,????????????????,Low,Jinda
Female,Engineering,Medium,Motorcycle,2,High,Medium,Little,Not,Not,Medium,Not,Medium,Medium,Medium,Little,Medium,Not,Not,Garden home,Low,Nikhom
Female,Engineering,Medium,No,2,High,Medium,Little,Medium,Little,Little,Little,High,Medium,Medium,Little,Little,Little,Little,Sabai place ,Low,Nikhom
Female,Engineering,Medium,Motorcycle,0,Little,Little,Not,Not,Little,Little,Not,Medium,Medium,Little,Not,Little,Not,Not,Sabai place ,Low,Nikhom
Female,Science,Medium,No,0,High,High,Medium,High,High,High,Little,High,High,Medium,Medium,High,Little,Medium,Sabai place ,Low,Nikhom
Female,Agri_tec,Medium,No,0,High,Little,Not,Medium,Medium,Little,Medium,Medium,Little,Little,Little,High,Little,Medium,Sabai place ,Low,RNP
Male,Science,Medium,Motorcycle,1,High,Medium,Little,Medium,High,Medium,High,Little,High,Medium,Little,Medium,Not,Medium,V Apartment,Low,Nikhom
Male,Industry_ed,Medium,Car,1,High,Medium,High,Medium,Medium,High,High,High,High,High,Medium,High,Little,High,????????,Low,Nikhom
Female,Nano,Medium,Motorcycle,1,Medium,High,Little,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Not,High,??????,Low,Kekingam
Female,Science,Medium,No,1,Medium,Not,High,High,High,Medium,High,High,High,Medium,Medium,Medium,Not,Little,?????????????????,Low,Jinda
Male,Engineering,Medium,Motorcycle,1,Medium,Medium,Little,Little,Little,Medium,Little,High,Medium,Medium,Medium,Medium,Little,Little,??????????1,Low,Nikhom
Female,Food_Ind,High,No,0,High,Medium,Medium,High,High,High,Little,High,Medium,High,High,High,Little,High,????? BBS,Low,Jinda
Female,Science,High,No,0,High,Not,Not,Little,Medium,Medium,Little,High,Little,Medium,High,Medium,Not,Not,?????????,Low,Kekingam
Female,Science,High,No,1,High,High,Not,Medium,Not,High,Not,High,High,Medium,Medium,High,Not,Medium,??????????????,Low,Jinda
LGBT,Engineering,High,Car,0,High,Little,High,Medium,Little,High,Medium,High,Medium,High,Medium,High,Not,Little,V Apartment,Low,Nikhom
Male,Science,High,No,0,Little,Not,Medium,Not,High,High,Little,High,High,High,High,High,Not,Not,FBT,Low,FBT
Female,Agri_tec,High,Motorcycle,0,High,Medium,Little,Little,Medium,High,Little,High,High,High,High,High,Little,Little,JJ apartment,Low,Kekingam
Male,Science,High,No,0,Medium,High,Not,Medium,Medium,High,Little,High,High,High,Little,Medium,Not,Little,V Apartment,Low,Nikhom
Male,Liberal_art,High,Motorcycle,0,Little,Little,High,High,High,High,Not,High,Medium,Not,Little,High,Not,High,???????????????? 1,Low,RNP
Male,Nano,Medium,No,0,High,Not,Little,Medium,High,Medium,Not,High,High,High,High,High,Not,High,N&A house,Low,Jinda
Female,Engineering,Low,No,0,High,Medium,Medium,High,High,High,High,Medium,High,Medium,High,High,Little,Little,?????????????????,Medium,Kekingam
LGBT,Industry_ed,Medium,No,0,Medium,Not,Not,Not,Medium,Medium,Little,High,High,Medium,Medium,High,Not,Not,???????,Medium,Kekingam
Male,Engineering,High,Motorcycle,1,Medium,Little,Medium,High,High,High,Little,High,Little,Little,Little,Medium,Not,Not,?????????,Medium,RNP
LGBT,Science,Very_High,No,1,High,Not,Not,Little,Medium,High,Little,High,High,High,Medium,Medium,Medium,Medium,?????????,Medium,RNP
Male,Science,Very_High,Bicycle,0,High,Medium,Little,Not,High,High,Not,High,High,Medium,Little,High,Not,Little,??????,Medium,RNP
Female,Science,Medium,No,0,Medium,Not,Not,Medium,Medium,High,Not,Medium,Medium,Medium,High,Medium,Little,Not,?????????????????,Medium,Kekingam
Female,Science,Medium,Motorcycle,0,High,Medium,Little,Medium,High,Medium,Not,High,High,High,High,High,Little,Little,???????????,Medium,Kekingam
Female,Science,Medium,Bicycle,1,High,Medium,Medium,Not,High,Medium,Not,High,Medium,Medium,Medium,Medium,Not,Little,??????? ???????RNP,Medium,RNP
Male,Engineering,Low,No,0,High,Medium,Little,Medium,Medium,Medium,Medium,High,Medium,Medium,High,High,Little,Little,?????????????-???????,Medium,Kekingam
Female,Agri_tec,Low,No,0,High,Medium,High,Little,Medium,Medium,High,High,Medium,High,Medium,Medium,High,High,??????????1,Medium,Kekingam
Female,Industry_ed,Very_High,Motorcycle,1,High,High,High,Medium,Little,Medium,Medium,High,High,High,Little,High,High,High,???????????,Medium,RNP
Female,IT,Low,No,1,High,High,Medium,Little,High,Medium,Medium,High,High,High,Little,High,Not,Not,A&J Mansion,Medium,RNP
Female,Engineering,Low,No,0,Little,High,Little,Little,High,High,High,High,High,High,High,High,Little,Medium,A&J Mansion,Medium,RNP
Female,Nano,Low,No,1,High,Little,Little,Medium,High,High,Little,High,High,High,High,High,Medium,High,??????,Medium,Kekingam
Female,Science,Low,No,0,Medium,Little,Not,Not,Medium,Medium,Not,High,Medium,Medium,High,High,Not,Not,Enjoy place,Medium,RNP
Female,Industry_ed,Medium,No,1,High,High,Medium,Little,High,High,Medium,High,High,High,Medium,High,Little,Little,Thr icon place,Medium,RNP
Male,IT,Medium,Motorcycle,0,Medium,Little,Little,Medium,Medium,Little,Medium,High,High,High,High,High,Not,Medium,U-Place,Medium,RNP
Female,Architecture,Medium,No,0,High,Medium,Little,Medium,Medium,Medium,Little,High,Medium,High,High,High,Little,High,??????????,Medium,Jinda
Female,Science,Medium,Motorcycle,0,Medium,High,Medium,Medium,High,Medium,Not,Medium,Medium,High,Little,High,Not,High,????????????????2,Medium,RNP
Female,Agri_tec,Medium,Motorcycle,1,Little,Little,High,Little,Medium,Medium,Little,High,High,High,Medium,High,Not,Not,U-Place,Medium,RNP
Male,Science,Medium,No,2,Medium,Not,Not,Not,Medium,Medium,Not,High,High,Medium,Medium,Medium,Not,Not,??????,Medium,Kekingam
Female,Engineering,Medium,No,0,Medium,Not,Not,Little,High,High,High,High,Medium,Medium,High,Medium,High,Little,A&J Mansion,Medium,RNP
